Survived	Pclass	Sex	Age_Bin_E	Age_Bin_Q	SibSp	Parch	Fare_Bin_E	Fare_Bin_Q	Embarked	C_L
0	3	male	1.0	2.0	1	1	0	0	S	26
1	2	male	0.0	0.0	1	1	0	0	S	26
1	1	male	0.0	0.0	0	2	0	0	C	3
0	2	male	1.0	1.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	Q	26
1	3	male	1.0	1.0	0	0	0	0	C	26
1	3	female	1.0	1.0	0	0	0	0	S	26
0	1	male	3.0	3.0	0	0	0	0	S	26
1	1	female	2.0	3.0	1	0	0	0	C	1
0	1	male	.	.	0	0	1	1	C	26
1	1	female	1.0	3.0	1	1	0	0	S	5
1	3	female	1.0	2.0	1	0	0	0	S	26
0	3	male	.	.	0	0	0	0	Q	26
0	3	male	1.0	3.0	0	0	0	0	S	26
0	2	male	1.0	1.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
0	3	female	.	.	0	0	0	0	S	26
0	3	male	1.0	1.0	2	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	female	1.0	2.0	0	4	0	0	S	26
0	3	male	.	.	0	0	0	0	C	26
1	3	male	1.0	2.0	0	0	0	0	S	26
1	2	male	3.0	3.0	0	0	0	0	S	26
1	1	female	2.0	3.0	2	0	0	0	S	3
1	1	male	1.0	2.0	0	0	0	0	S	5
1	3	female	.	.	0	0	0	0	Q	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
1	2	female	1.0	2.0	0	0	0	0	S	26
1	1	female	1.0	3.0	1	0	0	0	S	5
0	3	female	.	.	1	0	0	0	C	26
1	3	male	1.0	2.0	0	0	0	0	S	26
1	2	female	1.0	1.0	1	1	0	0	S	26
1	1	female	1.0	3.0	1	1	0	0	C	3
0	2	male	2.0	3.0	0	0	0	0	S	26
0	1	male	1.0	2.0	0	0	0	0	C	1
0	3	male	.	.	0	0	0	0	C	26
1	1	female	0.0	0.0	0	2	0	0	S	5
0	2	male	2.0	3.0	0	0	0	0	S	26
1	1	male	2.0	3.0	1	1	0	0	C	2
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
1	1	female	2.0	3.0	1	0	0	0	C	4
0	3	male	2.0	3.0	0	0	0	0	S	26
0	3	female	.	.	0	2	0	0	Q	26
0	2	male	1.0	2.0	1	0	0	0	S	26
0	3	male	1.0	2.0	1	1	0	0	S	26
1	2	female	.	.	0	0	0	0	S	26
0	3	male	2.0	3.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	C	26
1	1	male	2.0	3.0	1	0	0	0	C	1
1	2	female	1.0	1.0	2	1	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
0	1	male	.	.	0	0	0	0	S	26
0	3	male	2.0	3.0	0	0	0	0	S	26
1	1	male	1.0	2.0	0	0	0	0	C	26
0	3	male	1.0	2.0	1	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
1	1	male	1.0	1.0	0	0	0	0	S	26
1	2	female	1.0	1.0	1	2	0	0	C	26
1	1	female	1.0	3.0	0	0	1	1	S	3
0	3	female	1.0	3.0	1	5	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
1	3	female	.	.	1	0	0	0	Q	26
0	3	male	.	.	0	0	0	0	Q	26
0	3	male	1.0	2.0	0	0	0	0	S	26
1	2	female	1.0	1.0	1	2	0	0	S	26
0	3	male	1.0	2.0	1	1	0	0	S	26
0	3	female	1.0	1.0	1	0	0	0	S	26
1	2	female	0.0	0.0	2	1	0	0	S	6
0	2	male	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	1.0	1	0	0	0	C	26
1	1	male	2.0	3.0	1	0	0	0	S	4
1	3	male	0.0	0.0	1	1	0	0	C	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	1	male	3.0	3.0	0	0	0	0	S	4
0	2	male	2.0	3.0	0	0	0	0	Q	26
1	1	female	1.0	1.0	0	0	0	0	S	4
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	Q	26
1	1	male	3.0	3.0	0	0	0	0	S	1
0	3	male	2.0	3.0	0	0	0	0	S	26
1	1	male	1.0	2.0	0	0	0	0	C	2
0	1	male	.	.	0	0	0	0	S	26
0	3	female	0.0	0.0	3	2	0	0	S	26
1	2	female	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
0	2	male	1.0	2.0	1	1	0	0	S	26
0	3	female	2.0	3.0	0	5	0	0	S	26
0	3	male	.	.	1	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
1	1	female	1.0	1.0	0	0	0	0	C	2
0	3	female	0.0	0.0	3	2	0	0	S	26
1	3	male	.	.	0	0	0	0	S	26
1	3	female	0.0	0.0	2	1	0	0	C	26
1	1	male	2.0	3.0	1	0	0	0	C	4
0	3	male	0.0	0.0	0	0	0	0	S	26
1	1	male	2.0	3.0	0	0	0	0	C	1
0	3	male	.	.	0	0	0	0	S	26
1	3	female	1.0	1.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
1	2	female	0.0	0.0	0	1	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
1	3	female	.	.	0	0	0	0	Q	26
0	3	female	0.0	0.0	0	0	0	0	Q	26
0	2	male	1.0	1.0	2	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
0	3	female	1.0	2.0	1	1	0	0	Q	26
0	2	male	1.0	1.0	0	0	0	0	S	26
0	1	male	2.0	3.0	0	2	0	0	C	4
1	1	male	2.0	3.0	2	0	1	1	S	26
0	3	male	1.0	3.0	0	0	0	0	C	26
0	1	male	2.0	3.0	0	0	0	0	S	5
0	3	male	1.0	2.0	0	0	0	0	S	26
1	3	male	0.0	0.0	1	0	0	0	S	26
0	2	male	1.0	2.0	2	0	0	0	S	26
0	2	male	1.0	1.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
0	3	male	2.0	3.0	0	0	0	0	S	26
1	1	female	.	.	1	0	0	0	S	3
1	2	female	1.0	3.0	1	1	0	0	S	26
0	1	male	1.0	2.0	1	0	0	0	S	2
0	2	male	3.0	3.0	0	0	0	0	S	26
1	2	male	1.0	2.0	0	0	0	0	S	26
0	2	male	.	.	0	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
1	3	female	0.0	0.0	0	0	0	0	S	26
0	3	female	2.0	3.0	1	6	0	0	S	26
1	1	male	1.0	2.0	0	1	3	3	C	2
0	3	female	.	.	0	0	0	0	Q	26
1	1	male	1.0	1.0	0	0	0	0	C	4
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	0.0	0.0	5	2	0	0	S	26
0	2	male	2.0	3.0	1	1	0	0	S	26
0	2	male	1.0	1.0	1	2	0	0	C	26
0	3	male	0.0	0.0	4	1	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
1	1	female	0.0	0.0	0	1	1	1	S	2
1	1	male	1.0	2.0	1	0	0	0	S	2
1	3	female	0.0	0.0	0	1	0	0	C	26
1	3	male	.	.	0	0	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	C	26
0	1	male	2.0	3.0	0	0	0	0	S	26
0	2	male	2.0	3.0	0	0	0	0	S	26
0	3	male	2.0	3.0	0	0	0	0	S	26
1	3	female	.	.	0	0	0	0	Q	26
0	1	male	2.0	3.0	1	1	0	0	C	3
0	3	male	2.0	3.0	0	0	0	0	S	6
1	1	female	0.0	0.0	1	0	1	1	C	3
1	1	male	1.0	2.0	0	0	0	0	S	5
0	3	female	0.0	0.0	0	1	0	0	C	26
0	3	male	1.0	1.0	0	0	0	0	Q	26
0	3	male	1.0	1.0	1	0	0	0	S	26
0	2	male	1.0	3.0	0	0	0	0	S	26
1	2	female	2.0	3.0	0	0	0	0	S	26
1	1	male	2.0	3.0	0	0	0	0	S	5
1	1	female	1.0	1.0	0	0	1	1	S	26
1	3	male	.	.	1	1	0	0	C	26
1	1	female	1.0	1.0	0	0	0	0	C	3
0	1	male	.	.	0	0	0	0	S	3
1	1	male	2.0	3.0	1	0	0	0	S	3
0	3	male	1.0	2.0	0	0	0	0	S	26
0	2	male	2.0	3.0	0	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	6
1	1	female	1.0	2.0	0	0	1	1	C	3
1	2	female	1.0	1.0	0	0	0	0	S	5
0	3	male	.	.	0	0	0	0	Q	26
0	3	male	1.0	2.0	0	0	0	0	S	26
1	2	female	0.0	0.0	0	1	0	0	S	26
0	3	male	0.0	0.0	1	0	0	0	S	26
0	2	male	1.0	2.0	0	0	0	0	S	26
0	2	male	2.0	3.0	0	0	0	0	S	26
1	1	male	1.0	1.0	1	0	0	0	S	5
0	3	male	0.0	0.0	0	0	0	0	S	26
1	2	female	1.0	2.0	3	0	0	0	S	26
1	3	female	.	.	0	0	0	0	Q	26
0	2	male	1.0	1.0	1	0	0	0	S	26
0	3	female	1.0	1.0	1	0	0	0	S	26
1	1	female	1.0	2.0	0	0	1	1	S	2
0	3	male	0.0	0.0	0	0	0	0	C	26
0	2	male	.	.	0	0	0	0	S	26
0	2	male	1.0	1.0	0	0	0	0	S	26
0	2	male	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
0	3	female	2.0	3.0	1	3	0	0	S	26
1	1	male	1.0	2.0	0	0	3	3	C	2
0	3	male	.	.	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
1	1	male	.	.	0	0	0	0	S	4
0	1	male	1.0	2.0	1	0	0	0	S	3
1	1	female	1.0	1.0	2	2	2	2	C	2
0	3	male	1.0	1.0	1	0	0	0	S	26
1	3	male	1.0	2.0	0	0	0	0	S	26
0	1	male	3.0	3.0	1	1	0	0	S	2
0	3	male	0.0	0.0	1	1	0	0	S	26
1	2	female	1.0	2.0	0	0	0	0	S	26
0	1	male	0.0	0.0	1	0	0	0	S	4
0	3	male	1.0	2.0	0	0	0	0	Q	26
1	2	female	0.0	0.0	1	1	0	0	S	26
1	3	male	0.0	0.0	0	1	0	0	S	5
0	3	male	1.0	2.0	0	0	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
1	2	female	2.0	3.0	1	2	0	0	S	26
1	2	male	0.0	0.0	1	1	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	2	male	0.0	0.0	0	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
1	1	female	1.0	2.0	0	0	0	0	S	2
0	3	male	.	.	0	0	0	0	S	26
0	3	male	2.0	3.0	0	0	0	0	S	26
1	3	male	0.0	0.0	0	0	0	0	C	26
1	1	female	1.0	2.0	1	2	0	0	S	2
0	3	male	0.0	0.0	0	0	0	0	S	26
1	1	female	2.0	3.0	1	0	0	0	S	4
0	1	male	.	.	0	0	0	0	C	26
0	3	female	1.0	2.0	0	0	0	0	Q	26
0	3	male	.	.	1	0	0	0	Q	26
0	3	male	1.0	2.0	0	0	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	2.0	3.0	0	0	0	0	S	26
0	2	female	2.0	3.0	0	0	0	0	S	5
0	3	male	.	.	0	0	0	0	C	26
1	2	female	2.0	3.0	1	3	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	Q	6
1	3	female	0.0	0.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	Q	26
1	1	female	2.0	3.0	0	1	1	1	S	2
1	3	female	0.0	0.0	0	0	0	0	C	26
1	1	female	0.0	0.0	1	0	0	0	S	2
0	1	male	1.0	2.0	0	0	0	0	S	4
0	3	male	.	.	1	2	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
1	3	female	0.0	0.0	0	0	0	0	S	26
0	3	male	0.0	0.0	4	1	0	0	Q	26
1	3	male	0.0	0.0	1	2	0	0	S	26
0	1	male	2.0	3.0	0	0	0	0	C	2
0	3	male	.	.	0	0	0	0	Q	26
0	2	male	0.0	0.0	0	0	0	0	S	26
0	3	female	.	.	8	2	0	0	S	26
0	1	male	.	.	0	0	0	0	C	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	2	male	1.0	3.0	0	0	0	0	S	26
1	1	female	2.0	3.0	0	0	0	0	S	4
1	3	female	1.0	2.0	0	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	C	26
0	3	female	1.0	2.0	1	1	0	0	S	26
0	2	male	1.0	2.0	0	0	0	0	S	26
1	2	female	1.0	2.0	1	1	0	0	S	26
1	1	male	0.0	0.0	1	2	0	0	S	2
1	3	male	0.0	0.0	0	1	0	0	C	26
1	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
0	1	male	1.0	3.0	0	0	0	0	S	1
0	3	female	0.0	0.0	0	0	0	0	S	26
0	2	male	1.0	3.0	0	0	0	0	S	26
1	1	female	1.0	2.0	1	0	0	0	S	5
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	3.0	0	0	0	0	S	26
0	2	male	1.0	2.0	0	0	0	0	S	26
0	3	female	0.0	0.0	4	2	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
0	1	male	.	.	0	0	0	0	S	2
0	3	female	1.0	1.0	0	0	0	0	S	26
0	2	male	1.0	2.0	1	1	0	0	C	26
0	3	male	2.0	3.0	0	0	0	0	S	26
0	3	male	0.0	0.0	3	2	0	0	S	26
1	1	female	2.0	3.0	1	1	0	0	S	2
1	3	male	1.0	1.0	0	0	0	0	S	26
0	1	male	1.0	2.0	0	0	0	0	S	26
1	3	female	1.0	1.0	0	1	0	0	S	5
0	3	male	0.0	0.0	4	1	0	0	S	26
0	3	male	.	.	0	0	0	0	Q	26
0	3	male	.	.	0	0	0	0	S	26
1	2	male	0.0	0.0	0	2	0	0	C	26
1	3	male	.	.	0	0	0	0	Q	26
1	1	female	3.0	3.0	0	0	0	0	.	2
1	3	female	0.0	0.0	1	0	0	0	C	26
1	2	male	0.0	0.0	1	1	0	0	S	26
0	3	male	.	.	0	0	0	0	C	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
1	1	female	1.0	3.0	1	1	0	0	C	5
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
1	3	male	1.0	2.0	0	0	0	0	S	26
1	1	male	.	.	0	0	0	0	C	3
0	3	male	0.0	0.0	0	0	0	0	S	26
0	2	male	0.0	0.0	0	0	0	0	S	26
1	1	female	1.0	2.0	0	0	0	0	C	26
0	3	male	1.0	2.0	0	0	0	0	C	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	2.0	3.0	0	0	0	0	S	26
0	3	male	.	.	8	2	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	C	26
0	2	male	1.0	1.0	0	1	0	0	S	26
1	1	female	.	.	1	0	0	0	C	3
0	3	male	0.0	0.0	4	2	0	0	S	26
0	3	male	3.0	3.0	0	0	0	0	S	26
0	3	female	0.0	0.0	1	1	0	0	C	26
1	1	female	0.0	0.0	0	1	0	0	S	4
0	2	female	2.0	3.0	1	0	0	0	S	26
1	3	female	0.0	0.0	0	1	0	0	S	26
1	1	female	2.0	3.0	1	1	1	1	S	26
1	1	male	2.0	3.0	0	0	0	0	S	5
1	3	female	1.0	1.0	0	3	0	0	C	26
0	3	male	.	.	0	0	0	0	C	26
0	3	male	2.0	3.0	2	0	0	0	S	26
0	2	male	1.0	1.0	1	0	0	0	S	26
1	1	female	2.0	3.0	0	0	0	0	S	4
0	3	female	.	.	8	2	0	0	S	26
0	2	male	1.0	1.0	0	0	0	0	S	26
1	2	female	2.0	3.0	0	0	0	0	S	26
1	2	female	1.0	1.0	1	0	0	0	C	26
0	1	male	1.0	2.0	0	0	0	0	S	1
0	3	male	.	.	0	0	0	0	S	26
1	3	male	0.0	0.0	1	1	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
1	1	female	2.0	3.0	1	1	0	0	S	4
0	1	male	1.0	2.0	0	0	0	0	S	2
0	3	male	2.0	3.0	0	0	0	0	S	26
1	2	female	1.0	1.0	1	0	0	0	C	26
1	3	female	0.0	0.0	0	0	0	0	C	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	0.0	0.0	0	0	0	0	S	26
0	3	male	.	.	0	0	0	0	S	26
1	1	female	2.0	3.0	0	1	0	0	C	3
1	2	female	1.0	1.0	0	1	0	0	S	26
0	3	male	1.0	2.0	0	0	0	0	S	26
0	3	female	1.0	1.0	0	0	0	0	S	26
0	2	male	1.0	1.0	0	0	0	0	S	26
0	3	male	1.0	1.0	0	0	0	0	S	26
0	3	female	1.0	3.0	0	5	0	0	Q	26
0	2	male	1.0	1.0	0	0	0	0	S	26
1	1	female	0.0	0.0	0	0	0	0	S	2
0	3	female	.	.	1	2	0	0	S	26
1	1	male	1.0	1.0	0	0	0	0	C	3
0	3	male	1.0	2.0	0	0	0	0	Q	26
